caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
12281,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
12282,8,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
12283,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12284,8,Trade certificate or diploma,NA,Excellent,"$25,000 to $49,999",0
12285,10,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",1
12286,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
12287,5,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",1
12288,5,Trade certificate or diploma,30.0 to 40.0 hours,Poor,"Less than $25,000",0
12289,7,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Very good,"$50,000 to $74,999",0
12290,9,NA,NA,Excellent,"$25,000 to $49,999",2
12291,10,High school diploma or a high school equivalency certificate,NA,Good,"$75,000 to $99,999",3
12292,9,"University certificate, diploma or degree above the bach...",50.1 hours and more,Excellent,"$75,000 to $99,999",2
12293,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
12294,10,University certificate or diploma below the bachelor's level,0.1 to 29.9 hours,Excellent,"$50,000 to $74,999",1
12295,8,High school diploma or a high school equivalency certificate,NA,Excellent,"$50,000 to $74,999",1
12296,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$25,000 to $49,999",1
12297,6,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$125,000 and more",2
12298,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
12299,8,"University certificate, diploma or degree above the bach...",NA,Good,"$50,000 to $74,999",1
12300,7,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
12301,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
12302,8,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",1
12303,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
12304,7,High school diploma or a high school equivalency certificate,Don't know,Good,"$25,000 to $49,999",0
12305,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
12306,9,"University certificate, diploma or degree above the bach...",NA,Very good,"$75,000 to $99,999",3
12307,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$100,000 to $ 124,999",1
12308,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",1
12309,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
12310,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",0
12311,7,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",0
12312,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"Less than $25,000",1
12313,10,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",0
12314,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
12315,7,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",2
12316,9,University certificate or diploma below the bachelor's level,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
12317,8,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
12318,10,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
12319,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"Less than $25,000",1
12320,8,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
12321,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",0
12322,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12323,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
12324,8,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$125,000 and more",2
12325,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
12326,NA,NA,NA,NA,"$50,000 to $74,999",1
12327,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
12328,8,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",0
12329,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Good,"Less than $25,000",0
12330,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"Less than $25,000",1
12331,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
12332,10,University certificate or diploma below the bachelor's level,NA,Good,"Less than $25,000",1
12333,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",2
12334,10,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12335,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"Less than $25,000",1
12336,8,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$75,000 to $99,999",2
12337,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",1
12338,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$50,000 to $74,999",2
12339,8,Less than high school diploma or its equivalent,NA,Good,"$50,000 to $74,999",1
12340,2,Trade certificate or diploma,30.0 to 40.0 hours,Poor,"$75,000 to $99,999",0
12341,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
12342,7,Less than high school diploma or its equivalent,50.1 hours and more,Fair,"$100,000 to $ 124,999",1
12343,5,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Fair,"$25,000 to $49,999",0
12344,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
12345,6,"College, CEGEP or other non-university certificate or di...",NA,Good,"$25,000 to $49,999",1
12346,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$75,000 to $99,999",2
12347,NA,NA,NA,NA,"$75,000 to $99,999",1
12348,7,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",2
12349,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"Less than $25,000",1
12350,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12351,8,"University certificate, diploma or degree above the bach...",Don't know,Very good,"$125,000 and more",1
12352,8,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"$75,000 to $99,999",1
12353,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"Less than $25,000",0
12354,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"Less than $25,000",0
12355,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
12356,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"Less than $25,000",1
12357,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
12358,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$100,000 to $ 124,999",1
12359,NA,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,NA,"$75,000 to $99,999",1
12360,8,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
12361,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"Less than $25,000",1
12362,10,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
12363,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"Less than $25,000",1
12364,7,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",2
12365,8,Less than high school diploma or its equivalent,NA,Don't know,"$50,000 to $74,999",1
12366,9,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$125,000 and more",3
12367,5,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
12368,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12369,7,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
12370,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
12371,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
12372,8,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
12373,10,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
12374,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
12375,7,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",2
12376,9,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",3
12377,3,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"Less than $25,000",0
12378,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
12379,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
12380,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
12381,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
12382,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
12383,7,NA,0.1 to 29.9 hours,Very good,"Less than $25,000",0
12384,8,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
12385,7,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
12386,8,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Very good,"$25,000 to $49,999",0
12387,7,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Fair,"Less than $25,000",0
12388,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
12389,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",0
12390,10,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Very good,"$25,000 to $49,999",2
12391,7,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
12392,10,"College, CEGEP or other non-university certificate or di...",NA,Fair,"$25,000 to $49,999",1
12393,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",0
12394,4,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",0
12395,9,"University certificate, diploma or degree above the bach...",50.1 hours and more,Excellent,"$125,000 and more",2
12396,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
12397,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12398,8,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",0
12399,9,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"Less than $25,000",0
12400,10,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
12401,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$75,000 to $99,999",1
12402,9,Trade certificate or diploma,NA,Very good,"$25,000 to $49,999",0
12403,8,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",2
12404,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$50,000 to $74,999",1
12405,10,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$125,000 and more",1
12406,8,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",1
12407,9,"University certificate, diploma or degree above the bach...",NA,Good,"$25,000 to $49,999",0
12408,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
12409,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
12410,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
12411,9,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
12412,10,NA,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12413,10,Trade certificate or diploma,NA,Very good,"$25,000 to $49,999",1
12414,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
12415,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12416,8,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
12417,9,Trade certificate or diploma,NA,Excellent,"Less than $25,000",1
12418,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12419,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",2
12420,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
12421,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
12422,9,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
12423,10,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12424,10,University certificate or diploma below the bachelor's level,40.1 to 50.0 hours,Excellent,"$125,000 and more",1
12425,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
